text,label
"Congratulations! You've won a $1000 gift card. Click here to claim your prize now!",1
"URGENT: Your account has been compromised. Please verify your details immediately.",1
"Get rich quick! Make $5000 in just one week with our investment program.",1
"FREE iPhone 15! You've been selected for our exclusive giveaway.",1
"Your package delivery is pending. Click here to track your shipment.",1
"Meeting scheduled for tomorrow at 10 AM in the conference room.",0
"Please find attached the quarterly report for your review.",0
"Thank you for your application. We will review it and get back to you soon.",0
"Reminder: Team building event this Friday at 3 PM.",0
"Your order #12345 has been shipped and will arrive in 2-3 business days.",0
"WINNER! You've been selected for our $5000 cash prize. Send your details to claim.",1
"URGENT: Your bank account needs verification. Click here to secure your account.",1
"Make money fast! Double your investment in 24 hours.",1
"FREE trial of our premium service. No credit card required!",1
"Your account will be suspended unless you verify your information now.",1
"Please review the attached project proposal and provide your feedback.",0
"Welcome to our team! Here's your onboarding schedule for next week.",0
"Your subscription has been renewed successfully.",0
"Meeting minutes from today's team sync are now available.",0
"Your application for the position has been received. We'll contact you soon.",0
"CONGRATULATIONS! You've won a luxury vacation package. Claim now!",1
"URGENT: Your payment is overdue. Click here to avoid account suspension.",1
"Make $1000 daily from home! No experience needed.",1
"FREE shipping on all orders today only! Limited time offer.",1
"Your account has been locked. Click here to unlock now.",1
"The project deadline has been extended to next Friday.",0
"Please find the updated schedule for next week's training sessions.",0
"Your request for time off has been approved.",0
"New software update available. Please install when convenient.",0
"Thank you for your feedback. We appreciate your input.",0
"WIN A NEW CAR! You've been selected for our grand prize draw.",1
"URGENT: Your subscription will expire today. Renew now!",1
"Make money online! Guaranteed $5000 monthly income.",1
"FREE sample of our new product. Limited time offer!",1
"Your account needs immediate attention. Click here to verify.",1
"Please review the attached documents before the meeting.",0
"Your annual performance review is scheduled for next Monday.",0
"Welcome to our new client portal. Here's your login information.",0
"The office will be closed for maintenance this weekend.",0
"Your request has been processed successfully.",0
"CONGRATULATIONS! You've won a $5000 shopping spree.",1
"URGENT: Your account has been flagged for suspicious activity.",1
"Make money from home! No investment required.",1
"FREE consultation with our experts. Limited time offer!",1
"Your account will be deleted unless you verify now.",1
"Please find the agenda for tomorrow's team meeting.",0
"Your application has been shortlisted for the next round.",0
"Welcome to our new project management system.",0
"The monthly report is now available for review.",0
"Your request for additional resources has been approved.",0 